tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-23,739242.6385253081,0.38923660913086844,13.561566772564595,0.988407130102319,-0.07507717409030658,-0.003612595433337519,-0.0031536629667903004,-0.0017621735603698346,2024-05-23,2024-11-06,739028.0,739195.0,3.249054289489824,0.5964752153838323,0.6931471805599453,0.12783970456085403
2024-11-12,739201.4262499237,0.7254374741080195,4.143687933387378,0.6664553535849208,-0.0066508223364936826,0.000997465428924198,0.0006748226663023376,-0.0007345417965939978,2024-05-31,2024-11-06,739036.0,739195.0,2.1421069637510635,1.1673213798688378,0.6931471805599453,0.10738028173832216
2024-11-29,739218.7111717229,0.33901168296328704,9.875784449451505,0.9259220285398333,-0.09020744874960962,-0.006638707009450155,-0.004274894365095618,0.005079144507158302,2024-06-07,2024-11-06,739043.0,739195.0,3.148110534746849,0.46644663123771873,0.6931471805599453,0.10241401134416185
2024-12-24,739243.5607376853,0.02411345266708432,9.72914865224771,7.910181447363997,-6.599697657585673,-0.03298746280533079,-0.031873766606186064,-0.00849915905648673,2024-06-14,2024-11-06,739050.0,739195.0,2.141148596940388,0.4958606971515119,0.6931471805599453,0.07631432423387609
2025-01-11,739261.1388395051,0.004590643767600434,4.3546820912704245,79.97668288661411,-77.72693258866886,-0.07082883211967593,-0.07068780145006137,-0.004467458516196621,2024-06-24,2024-11-06,739060.0,739195.0,0.7708587468478225,1.1568540886746144,0.6931471805599453,0.08316851733264644
2024-12-03,739222.1483923815,0.29413703922500384,4.872844658121467,1.0166979428909204,-0.13398386538008414,-0.007722957047777637,-0.006517171178968689,-0.004143735680016057,2024-07-01,2024-11-06,739067.0,739195.0,1.3518113259044977,1.0472154314413462,0.6931471805599453,0.08954453323022382
2024-11-27,739216.4830152994,0.9720081029358918,8.567465607013428,0.6599402422153828,-0.0017198619012811557,-0.00035359125329763265,-0.00009977498748099072,0.00033922223730433517,2024-07-09,2024-11-06,739075.0,739195.0,2.5701871138713326,0.5518354272025024,0.6931471805599453,0.061450181860926024
2024-11-30,739219.2136331203,0.3167870806207825,11.99928483328987,0.8510380033346823,-0.07740366620601476,0.005202700162645953,0.0005315681610803585,-0.00517547333801672,2024-07-16,2024-11-06,739082.0,739195.0,3.3126889377997113,0.3927759003324612,0.6931471805599453,0.05506650993387662
2024-11-11,739200.1341189344,0.5724650357173485,13.391422926640663,0.6693368453741559,-0.012091885728424307,0.0017618906301442867,0.0005655196623111113,0.001668665965413617,2024-07-23,2024-11-06,739089.0,739195.0,6.55341841454604,0.2933846102497844,0.6931471805599453,0.0598343654226446
2024-11-09,739198.606681878,0.746118640460698,5.692599498891457,0.6624787850727583,-0.006138124129976477,0.001503290425573099,0.0015032827602899622,4.800649408226105e-6,2024-07-30,2024-11-06,739096.0,739195.0,3.033409967616693,0.5351678744949482,0.6931471805599453,0.04738862887076342
2024-12-05,739224.2403689388,0.5771270625623913,3.3458460551478506,0.7012710511370049,-0.010697419491978976,0.00266502101330594,0.0008734242775320568,-0.0025178298260168075,2024-08-06,2024-11-06,739103.0,739195.0,0.7573460191369576,0.6923789786370264,0.6931471805599453,0.05695185815648297
2024-12-04,739223.8787760693,0.2595492937965301,13.599475804787405,0.9825188514379873,-0.1412763424938401,0.008882006463365446,0.008824210212160996,-0.0010116090879678506,2024-08-13,2024-11-06,739110.0,739195.0,2.969649148733739,0.30356803601701715,0.6931471805599453,0.044684005596596334
2024-11-11,739200.1838534711,0.4228557769821256,3.0886125227605694,0.6829627889486096,-0.02181019467287009,-0.006814145499970994,-0.005712258310199328,0.0037151963464040053,2024-08-20,2024-11-06,739117.0,739195.0,1.3643490910764362,0.4382046478375764,0.6931471805599453,0.04724770065005621
2024-11-20,739209.466804404,0.2853795160969255,6.485825564643684,0.8347664150798595,-0.08730824899624445,-0.008721758265800695,-0.0025658845470527395,-0.008335784530460149,2024-08-26,2024-11-06,739123.0,739195.0,1.8455659466822836,0.440462323933555,0.6931471805599453,0.044901306292348425
2024-12-01,739220.4269295355,0.34405335532738773,3.8748588669439927,0.6704978225469844,-0.021615319218679617,0.011054316866866202,0.005791303387491473,0.009415876298418134,2024-08-30,2024-11-06,739127.0,739195.0,0.8025592004450764,0.17361996048572365,0.6931471805599453,0.03882760503943223
2024-11-26,739215.3180724641,0.9265901381446304,8.256384364921203,0.7166002908730578,-0.0038897219108661903,0.00017792315780851023,0.000028131706317229634,0.0001756851080320503,2024-09-09,2024-11-06,739137.0,739195.0,1.7729975483845526,2.4534874806193736,0.6931471805599453,0.020091405799702713
2024-11-16,739205.3611034203,0.7092456673039468,3.3780244823310444,0.708926228674705,-0.010398364124347755,0.001286702225999921,0.0010038741793533205,-0.0008048846193218312,2024-09-16,2024-11-06,739144.0,739195.0,0.9562905808161564,1.6967617587364126,0.6931471805599453,0.016198272891734165
2024-11-07,739196.1097548798,0.08381060964770072,10.018424034273133,0.965719709376881,-0.29027131811867685,0.0052491247957897,0.0008196598138320131,0.005184734218006078,2024-09-23,2024-11-06,739151.0,739195.0,5.907489917860448,0.4626119182786329,0.6931471805599453,0.015774997847508365
