tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-17,739236.204166586,0.17964656429774675,5.257842015013702,0.20917108064002837,0.08291486812330424,-0.07525222115702891,-0.07312400797608243,0.017770094163515965,2024-07-15,2024-11-08,739081.0,739197.0,1.151417895573529,0.03764648860006941,0.5543865943059171,1.9239633056131256
2024-11-17,739206.9579653933,0.21943159865671152,12.707880697978142,0.7637988884974258,-0.17004841191087391,0.037625795600695594,0.015050005877631063,-0.034484747609176365,2024-07-20,2024-11-08,739086.0,739197.0,5.05037972859527,0.07803922119774515,0.5543865943059171,1.9870005612908033
2024-12-17,739236.1532897657,0.7385170261922497,10.222309033500405,0.6806087653625679,-0.012465836664845274,0.0019068175616005606,0.001601380567976792,0.0010351490181295807,2024-07-25,2024-11-08,739091.0,739197.0,2.131777314529857,0.4723063616302864,0.5543865943059171,1.7571589957033484
2024-12-04,739223.5092182314,0.11130796790988896,5.958855110840107,1.7274065682340927,-0.8456850414560205,0.08264515292893873,0.061191089449784866,-0.05555062443029868,2024-07-30,2024-11-08,739096.0,739197.0,1.4896187544149928,0.19114136786122157,0.5543865943059171,1.0229993517045362
2024-11-13,739202.6677122156,0.2617030223642807,2.3797902860617186,0.7873445518512493,-0.1735144213455574,-0.059603170114771516,-0.04395387838385208,0.040256607690513785,2024-08-04,2024-11-08,739101.0,739197.0,1.0934381036548027,0.32013729264941193,0.5543865943059171,0.8838633050782072
2024-11-14,739203.8797723909,0.32417440378306234,12.91602396457971,0.7443363272543624,-0.1139547714992185,0.018295985363542322,0.017412231071795903,-0.005617587518262643,2024-08-09,2024-11-08,739106.0,739197.0,5.458065529915318,0.15632433471086218,0.5543865943059171,1.4210011369642492
2024-12-06,739225.0935883895,0.25519219738547677,6.607881979854514,0.8295327863248341,-0.1484884842580024,-0.04451230308945572,-0.01606063668819467,0.04151386606300821,2024-08-14,2024-11-08,739111.0,739197.0,1.47390195827621,0.12883024195517856,0.5543865943059171,0.8557029095427009
2024-12-13,739232.0624917601,0.774286614174418,10.788848890713195,0.5786663096692032,-0.006912482032985603,-0.0025518930711964987,-0.0010092251787047835,0.002343847858861363,2024-08-19,2024-11-08,739116.0,739197.0,2.055361600932595,0.19440086080497013,0.5543865943059171,1.1151284353155715
2024-11-26,739215.5769347183,0.4631065972117291,11.131412212979201,0.5321052139979948,-0.021134447211684993,0.017352975994706588,0.003461264015686083,0.017004276735179878,2024-08-24,2024-11-08,739121.0,739197.0,2.883297768708179,0.05066961788684833,0.5543865943059171,0.7720293288081645
2024-11-11,739200.0642952722,0.9818690536203833,12.034745635887043,0.48629852191796913,-0.0025798386574412743,-0.0017954777018096295,-0.001293419707597257,0.001245313469651162,2024-08-29,2024-11-08,739126.0,739197.0,6.1007368829251325,0.11722741458416736,0.5543865943059171,0.9117156117832839
2024-11-21,739210.0255282127,0.8163888940107709,9.797204476544998,0.45551916482082805,-0.0018899303862469751,0.00479161870190428,0.0026044701430404365,0.004021982727268949,2024-09-03,2024-11-08,739131.0,739197.0,2.8111515506172906,0.03286687946569666,0.5543865943059171,0.6929913536589257
2024-11-29,739218.6868999667,0.6196529539243117,3.6155920802906407,1.169533592985897,-0.07776382802151434,-0.026471919914176786,-0.01717684123000957,0.020142459365768438,2024-09-08,2024-11-08,739136.0,739197.0,0.7701408648844503,0.5034557308096647,0.5543865943059171,0.3621246830702009
2024-11-27,739216.0561667455,0.9183269386814854,4.855665465933735,0.5474694453059417,-0.004760506887209406,0.004874655343205076,0.0046868895017539635,0.001339899814682531,2024-09-13,2024-11-08,739141.0,739197.0,1.0593940912595445,0.18469615277876988,0.5543865943059171,0.35568627512134
2024-11-11,739200.5053254096,0.3428948751565473,13.866637468776583,0.32406826095713986,0.04176171707899514,-0.01515160723002796,-0.005678383837381585,0.014047318557233589,2024-09-18,2024-11-08,739146.0,739197.0,6.055887275359934,0.06815684458310614,0.5543865943059171,0.4822183296317892
2024-11-12,739201.2285566104,0.5305541918922504,8.08057843022382,0.30223981226403723,0.02905772527087508,0.003869147867294376,0.0018211887419278918,0.0034137335551070367,2024-09-23,2024-11-08,739151.0,739197.0,3.182652178501846,0.4930983919288723,0.5543865943059171,0.4080321786642343
2024-11-18,739207.5938361386,0.341221295048273,2.0792851848963942,2.3054366589162925,-0.6259291902757483,-0.15930130528054373,-0.0791132488483053,0.1382678549799306,2024-09-28,2024-11-08,739156.0,739197.0,0.5239028190357126,0.6448043205265932,0.5543865943059171,0.21106368558892896
2024-11-15,739204.8942516779,0.4341695850783359,14.284622073867244,0.269805547907573,0.04268552548295964,0.0025102282864735517,0.0024648665199293296,0.0004750569325285319,2024-10-03,2024-11-08,739161.0,739197.0,3.9004723556058547,0.5168423051534179,0.5543865943059171,0.33524924673128215
2024-11-13,739202.8920616785,0.040623293037102666,7.353380657056788,-0.3724424321747676,0.707107201685699,0.04074230166788019,0.01755598125966612,0.03676578119946325,2024-10-08,2024-11-08,739166.0,739197.0,2.1468364292668256,0.09587994530011892,0.5543865943059171,0.3042396202170375
