ticker,universe,strategy,date,buy,sell
bin,Crypto,test_0.05_0.05,2024-11-08,0,-1
eurs,Crypto,test_0.05_0.05,2024-11-08,0,-1
mitx,Crypto,test_0.05_0.05,2024-11-08,0,-1
pzp,Crypto,test_0.05_0.05,2024-11-08,0,-1
reap,Crypto,test_0.05_0.05,2024-11-08,0,-1
